zip,total,pct_total
20106,100,4.919198959609097e-4
20109,250,0.0012297997399022742
20111,75,3.689399219706823e-4
20130,27.5,1.3527797138925018e-4
20137,1010,0.004968390949205188
20143,75,3.689399219706823e-4
20145,120,5.903038751530916e-4
20146,52,2.55798345899673e-4
20147,250,0.0012297997399022742
20155,634,0.003118772140392167
20172,750,0.0036893992197068225
20175,50,2.4595994798045484e-4
20184,857,0.004215753508384996
20185,29345,0.14435389346972893
20186,20,9.838397919218194e-5
20190,1135,0.005583290819156325
20193,75,3.689399219706823e-4
20194,25,1.2297997399022742e-4
20201,25,1.2297997399022742e-4
20207,1000,0.004919198959609097
20227,25,1.2297997399022742e-4
20236,314.5,0.0015470880727970608
20406,19,9.346478023257284e-5
20409,165,8.11667828335501e-4
20417,90,4.4272790636481867e-4
20464,25,1.2297997399022742e-4
20475,20,9.838397919218194e-5
20507,35,1.721719635863184e-4
20509,25,1.2297997399022742e-4
20518,15,7.378798439413645e-5
20580,521,0.0025629026579563393
20601,26617.81,0.13093830325907263
20602,10456.44,0.05143730876921495
20603,41199.67,0.20266937380023808
20604,541,0.002661286637148521
20606,16.5,8.116678283355009e-5
20607,20866.61,0.10264700620256878
20608,305.5,0.001502815282160579
20609,148,7.280414460221463e-4
20610,80.88,3.9786481185318374e-4
20613,13728.93,0.06753533817254612
20614,5,2.4595994798045484e-5
20615,81.5,4.0091471520814134e-4
20616,4124.56,0.0202895312608453
20617,1209.7,0.005950754981439124
20618,606.5,0.0029834941690029173
20619,7242.92,0.035629364528531916
20620,755.5,0.003716454813984673
20621,29,1.426567698286638e-4
20622,1011.5,0.004975769747644601
20623,3668.56,0.018046376535263548
20624,139.5,6.86228254865469e-4
20625,1323.26,0.006509379215292333
20626,602.5,0.0029638173731644808
20628,5149,0.02532895544302724
20629,425,0.002090659557833866
20630,325,0.0015987396618729567
20634,5724.86,0.028161725355907732
20636,10881.22,0.053526886103277695
20637,4259.2,0.020951852208767063
20639,20916.44,0.1028921298867261
20640,3346.04,0.016459836486810424
20645,90,4.4272790636481867e-4
20646,17083.51,0.0840371846184716
