"Candidate Name","Party","Office Name","Office District","Winner","Early Votes","Election Night Votes","Absentees Votes","Provisional Votes","2nd Absentees Votes","Total Votes"
"Rushern L. Baker, III","DEM","Governor / Lt. Governor","","","10545","27246","1768","533","1020","41112"
"Ralph Jaffe","DEM","Governor / Lt. Governor","","","350","1242","92","43","23","1750"
"Ben Jealous","DEM","Governor / Lt. Governor","","Y","9946","32097","1205","855","1009","45112"
"James Hugh Jones, II","DEM","Governor / Lt. Governor","","","220","888","36","43","15","1202"
"Valerie Ervin","DEM","Governor / Lt. Governor","","","643","1997","248","69","57","3014"
"Rich Madaleno","DEM","Governor / Lt. Governor","","","5464","11208","919","212","428","18231"
"Alec Ross","DEM","Governor / Lt. Governor","","","710","2209","142","70","75","3206"
"Jim Shea","DEM","Governor / Lt. Governor","","","863","2588","153","58","78","3740"
"Krish O'Mara Vignarajah","DEM","Governor / Lt. Governor","","","1889","6499","317","244","259","9208"
"Peter Franchot","DEM","Comptroller            ","","Y","26976","75171","4352","1725","2509","110733"
"Brian E. Frosh","DEM","Attorney General       ","","Y","27749","75767","4449","1756","2564","112285"
"Ben Cardin","DEM","U.S. Senator           ","","Y","26578","69712","4329","1444","2542","104605"
"Erik Jetmir","DEM","U.S. Senator           ","","","334","1228","60","41","49","1712"
"Chelsea Manning","DEM","U.S. Senator           ","","","1429","4872","259","236","150","6946"
"Marcia H. Morgan","DEM","U.S. Senator           ","","","555","2065","97","84","46","2847"
"Jerome Jerry Segal","DEM","U.S. Senator           ","","","957","3959","185","105","132","5338"
"Richard Rikki Vaughn","DEM","U.S. Senator           ","","","307","1177","47","41","48","1620"
"Debbie Rica Wilson","DEM","U.S. Senator           ","","","605","2393","96","96","80","3270"
"Lih Young","DEM","U.S. Senator           ","","","446","1663","77","75","34","2295"
"Adam D. DeMarco","DEM","Representative in Congress","03","","171","776","27","21","26","1021"
"John Rea","DEM","Representative in Congress","03","","66","257","8","8","9","348"
"Eduardo Rosas","DEM","Representative in Congress","03","","175","776","13","23","14","1001"
"John Sarbanes","DEM","Representative in Congress","03","Y","2788","6239","257","76","233","9593"
"Andrew Duck","DEM","Representative in Congress","06","","234","578","32","21","27","892"
"George English","DEM","Representative in Congress","06","","68","301","21","6","9","405"
"Chris Graves","DEM","Representative in Congress","06","","107","449","12","18","14","600"
"Nadia Hashimi","DEM","Representative in Congress","06","","764","3219","122","93","97","4295"
"Christopher Hearsey","DEM","Representative in Congress","06","","58","216","7","11","7","299"
"Roger Manno","DEM","Representative in Congress","06","","971","2461","154","52","99","3737"
"Aruna Miller","DEM","Representative in Congress","06","","3808","9790","397","215","329","14539"
"David Trone","DEM","Representative in Congress","06","Y","3239","9413","356","207","198","13413"
"Utam Paul","DEM","Representative in Congress","08","","483","1850","84","77","36","2530"
"Jamie Raskin","DEM","Representative in Congress","08","Y","17690","47723","3386","1017","1863","71679"
"Summer Spring","DEM","Representative in Congress","08","","606","2603","185","100","99","3593"
"Craig J. Zucker","DEM","State Senator          ","14","Y","3751","8799","299","123","289","13261"
"Brian J. Feldman","DEM","State Senator          ","15","Y","3213","7964","371","172","287","12007"
"Hongjun Xin","DEM","State Senator          ","15","","418","1370","52","55","43","1938"
"Susan C. Lee","DEM","State Senator          ","16","Y","3858","13668","1175","240","512","19453"
"Cheryl C. Kagan","DEM","State Senator          ","17","Y","2800","7748","558","156","323","11585"
"Dana Beyer","DEM","State Senator          ","18","","1414","4599","260","106","148","6527"
"Michelle Carhart","DEM","State Senator          ","18","","444","1726","102","36","88","2396"
"Jeff Waldstreicher","DEM","State Senator          ","18","Y","2080","5975","369","66","205","8695"
"Ben Kramer","DEM","State Senator          ","19","Y","3363","9321","578","195","282","13739"
"Will Smith","DEM","State Senator          ","20","Y","4966","10750","518","301","361","16896"
"Nancy J. King","DEM","State Senator          ","39","Y","2175","6673","222","113","138","9321"
"Anne R. Kaiser","DEM","House of Delegates     ","14","Y","3405","7818","264","101","257","11845"
