"County","County Name","Election District - Precinct","Congressional","Legislative","Office Name","Office District","Candidate Name","Party","Winner","Early Votes","Election Night Votes","Mail-In Ballot 1 Votes","Provisional Votes","Mail-In Ballot 2 Votes" 
"16","Montgomery County","001-001","08","14","Governor / Lt. Governor","","Rushern L. Baker, III and Nancy Navarro","DEM","","1","6","3","0","2" 
"16","Montgomery County","001-001","08","14","Governor / Lt. Governor","","Jon Baron and Natalie Williams","DEM","","0","1","3","0","1" 
"16","Montgomery County","001-001","08","14","Governor / Lt. Governor","","Peter Franchot and Monique Anderson-Walker","DEM","","6","20","14","1","9" 
"16","Montgomery County","001-001","08","14","Governor / Lt. Governor","","Douglas F. Gansler and Candace Hollingsworth","DEM","","2","12","7","0","3" 
"16","Montgomery County","001-001","08","14","Governor / Lt. Governor","","Ralph W. Jaffe and Mark Greben","DEM","","0","1","1","0","1" 
"16","Montgomery County","001-001","08","14","Governor / Lt. Governor","","Ashwani Jain and LaTrece Hawkins Lytes","DEM","","1","6","4","0","2" 
"16","Montgomery County","001-001","08","14","Governor / Lt. Governor","","John King and Michelle Daugherty Siri","DEM","","4","6","2","1","3" 
"16","Montgomery County","001-001","08","14","Governor / Lt. Governor","","Wes Moore and Aruna Miller","DEM","Y","7","26","7","2","10" 
"16","Montgomery County","001-001","08","14","Governor / Lt. Governor","","Tom Perez and Shannon Sneed","DEM","","14","50","32","4","25" 
"16","Montgomery County","001-001","08","14","Governor / Lt. Governor","","Jerome M. Segal and Justinian M. Dispenza","DEM","","0","1","0","0","1" 
"16","Montgomery County","001-001","08","14","Comptroller","","Timothy J. Adams","DEM","","7","18","13","1","17" 
"16","Montgomery County","001-001","08","14","Comptroller","","Brooke Elizabeth Lierman","DEM","Y","27","100","60","6","38" 
"16","Montgomery County","001-001","08","14","Attorney General","","Anthony G. Brown","DEM","Y","15","55","34","2","27" 
"16","Montgomery County","001-001","08","14","Attorney General","","Katie Curran O'Malley","DEM","","19","74","40","6","29" 
"16","Montgomery County","001-001","08","14","U.S. Senator","","Michelle L. Smith","DEM","","3","19","4","1","4" 
"16","Montgomery County","001-001","08","14","U.S. Senator","","Chris Van Hollen","DEM","Y","33","109","73","7","54" 
"16","Montgomery County","001-001","08","14","U.S. Congress","08","Andalib Odulate","DEM","","7","11","6","2","5" 
"16","Montgomery County","001-001","08","14","U.S. Congress","08","Jamie Raskin","DEM","Y","28","118","70","6","53" 
"16","Montgomery County","001-001","08","14","State Senator","14","Collins Odongo","DEM","","5","21","4","0","7" 
"16","Montgomery County","001-001","08","14","State Senator","14","Craig J. Zucker","DEM","Y","28","101","69","6","48" 
"16","Montgomery County","001-001","08","14","House of Delegates","14","Joshua Dowling","DEM","","5","25","16","1","9" 
"16","Montgomery County","001-001","08","14","House of Delegates","14","Anne R. Kaiser","DEM","Y","27","88","65","4","39" 
"16","Montgomery County","001-001","08","14","House of Delegates","14","Eric Luedtke","DEM","Y","21","70","51","5","38" 
"16","Montgomery County","001-001","08","14","House of Delegates","14","Pamela Queen","DEM","Y","29","74","47","4","43" 
"16","Montgomery County","001-001","08","14","House of Delegates","14","Tom B. Smith","DEM","","5","43","30","3","18" 
"16","Montgomery County","001-001","08","14","County Executive","16","David T. Blair","DEM","","18","66","41","7","17" 
"16","Montgomery County","001-001","08","14","County Executive","16","Marc Elrich","DEM","Y","11","47","20","2","26" 
"16","Montgomery County","001-001","08","14","County Executive","16","Peter James","DEM","","0","3","0","0","3" 
"16","Montgomery County","001-001","08","14","County Executive","16","Hans Riemer","DEM","","9","21","14","0","10" 
"16","Montgomery County","001-001","08","14","County Council At Large","16","Gabe Albornoz","DEM","Y","26","65","41","5","32" 
"16","Montgomery County","001-001","08","14","County Council At Large","16","Brandy H. M. Brooks","DEM","","8","38","17","1","12" 
"16","Montgomery County","001-001","08","14","County Council At Large","16","Dana E. Gassaway","DEM","","6","30","13","0","8" 
"16","Montgomery County","001-001","08","14","County Council At Large","16","Evan Glass","DEM","Y","22","65","39","4","34" 
"16","Montgomery County","001-001","08","14","County Council At Large","16","Scott Evan Goldberg","DEM","","11","42","32","3","22" 
"16","Montgomery County","001-001","08","14","County Council At Large","16","Tom Hucker","DEM","","14","33","31","2","19" 
"16","Montgomery County","001-001","08","14","County Council At Large","16","Will Jawando","DEM","Y","23","62","41","3","29" 
"16","Montgomery County","001-001","08","14","County Council At Large","16","Laurie-Anne Sayles","DEM","Y","12","62","41","3","25" 
"16","Montgomery County","001-001","08","14","County Council","007","Andrew A. Einsmann","DEM","","3","6","4","1","3" 
"16","Montgomery County","001-001","08","14","County Council","007","Paul Geller","DEM","","0","7","7","0","3" 
"16","Montgomery County","001-001","08","14","County Council","007","Sharif A. Hidayat","DEM","","11","49","10","2","3" 
"16","Montgomery County","001-001","08","14","County Council","007","Dawn Luedtke","DEM","Y","11","37","28","3","23" 
"16","Montgomery County","001-001","08","14","County Council","007","Jacqueline Manger","DEM","","4","20","16","3","9" 
"16","Montgomery County","001-001","08","14","County Council","007","Paul K. Schwartz","DEM","","4","4","2","0","6" 
"16","Montgomery County","001-001","08","14","County Council","007","Ben Wikner","DEM","","0","5","4","0","7" 
"16","Montgomery County","001-001","08","14","Judge Circuit Court","Montgomery County Circuit Court 06","Carlos F. Acosta","DEM","Y","28","80","56","3","34" 
"16","Montgomery County","001-001","08","14","Judge Circuit Court","Montgomery County Circuit Court 06","Theresa M. Chernosky","DEM","Y","24","76","53","5","33" 
"16","Montgomery County","001-001","08","14","Judge Circuit Court","Montgomery County Circuit Court 06","Kathleen Dumais","DEM","Y","21","87","57","5","33" 
"16","Montgomery County","001-001","08","14","Judge Circuit Court","Montgomery County Circuit Court 06","Thomas P. Johnson, III","DEM","","10","22","10","2","11" 
"16","Montgomery County","001-001","08","14","Judge Circuit Court","Montgomery County Circuit Court 06","Rachel Theora McGuckian","DEM","Y","20","74","55","5","33" 
"16","Montgomery County","001-001","08","14","Judge Circuit Court","Montgomery County Circuit Court 06","Marylin Pierre","DEM","","14","52","22","1","19" 
"16","Montgomery County","001-001","08","14","State's Attorney","16","Tom DeGonia","DEM","","7","22","16","3","12" 
"16","Montgomery County","001-001","08","14","State's Attorney","16","John McCarthy","DEM","Y","20","52","41","5","24" 
"16","Montgomery County","001-001","08","14","State's Attorney","16","Bernice Mireku-North","DEM","","7","23","11","0","3" 
"16","Montgomery County","001-001","08","14","State's Attorney","16","Perry Paylor","DEM","","2","19","6","0","10" 
"16","Montgomery County","001-001","08","14","Clerk Circuit Court","16","Alan S. Bowser","DEM","","8","17","15","3","12" 
"16","Montgomery County","001-001","08","14","Clerk Circuit Court","16","Karen Bushell","DEM","Y","21","83","49","2","28" 
"16","Montgomery County","001-001","08","14","Register of Wills","16","Joseph M. Griffin","DEM","Y","29","96","66","5","39" 
"16","Montgomery County","001-001","08","14","Sheriff","16","Robert Bass","DEM","","9","41","24","2","17" 
"16","Montgomery County","001-001","08","14","Sheriff","16","Maxwell Cornelius Uy","DEM","Y","20","60","43","5","26" 
"16","Montgomery County","001-001","08","14","DEM Cent Comm at Large","16","Tazeen Ahmad","DEM","","14","51","23","2","12" 
"16","Montgomery County","001-001","08","14","DEM Cent Comm at Large","16","Sarah Brand","DEM","Y","17","59","34","3","18" 
"16","Montgomery County","001-001","08","14","DEM Cent Comm at Large","16","Ilhan Cagri","DEM","","16","44","29","0","10" 
"16","Montgomery County","001-001","08","14","DEM Cent Comm at Large","16","Barbara Ebel","DEM","Y","13","48","39","1","13" 
"16","Montgomery County","001-001","08","14","DEM Cent Comm at Large","16","Marjorie Goldman","DEM","Y","11","59","38","2","13" 
"16","Montgomery County","001-001","08","14","DEM Cent Comm at Large","16","Raju Mahajan","DEM","","11","39","20","0","10" 
"16","Montgomery County","001-001","08","14","DEM Cent Comm at Large","16","Marko G. Rivera-Oven","DEM","Y","15","41","40","2","18" 
"16","Montgomery County","001-001","08","14","DEM Cent Comm at Large","16","Andrew D. Saundry","DEM","Y","12","38","36","3","21" 
"16","Montgomery County","001-001","08","14","DEM Cent Comm at Large","16","Michael Tardif","DEM","Y","14","36","32","2","13" 
