contributor_state,amount_dem,amount_rep,amount_diff
FL,5653056.43,5884806.6,-231750.16999999993
DC,3484134.1,3171536.65,312597.4500000002
CA,425328.51,552230.21,-126901.69999999995
IA,303398,18814,284584
WI,302314.61,62615,239699.61
GA,244212.9,147007,97205.9
NY,240119.47,251689.45,-11569.98000000001
MA,178800.41,107913.97,70886.44
CT,120433.11,114585,5848.110000000001
IL,116215.4,197519.77,-81304.37
UT,100110,20985,79125
PA,88304.44,206956.53,-118652.09
KY,82721.86,60449.5,22272.36
WA,71282.45,64312.5,6969.949999999997
OH,55858.75,109175,-53316.25
VA,52226.37,1259203.08,-1206976.71
MT,52066,13100,38966
MD,46943.79,486735.45999999996,-439791.67
TX,45757.07,395162.38,-349405.31
MI,37540.93,148519,-110978.07
NC,35946.409999999996,82773.5,-46827.090000000004
AL,28900.28,44580,-15679.720000000001
MN,28799.62,68961.6,-40161.98000000001
MO,26431.72,157506.01,-131074.29
IN,23069,85035,-61966
ME,23004.5,10760,12244.5
NJ,17187.649999999998,110186,-92998.35
CO,15400.29,58055,-42654.71
LA,13407.61,41175,-27767.39
VT,12650,5690,6960
AR,12626,37785,-25159
NV,12555.15,58882,-46326.85
NM,10249,17475,-7226
OR,8851,39097.5,-30246.5
TN,8219.43,67713.5,-59494.07
AZ,5687.08,98493.36,-92806.28
NH,3371,11185,-7814
HI,3255,5937,-2682
SC,2501,51940,-49439
OK,1260,37083,-35823
RI,483,11150,-10667
ID,438,15993,-15555
WY,412,13845,-13433
DE,410,18040,-17630
ND,250,9890,-9640
NE,250,23240,-22990
KS,245,36525,-36280
AK,170,5825,-5655
MS,20,24260,-24240
